 ,Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,1,1,5212.984,58.421,17268.571,17565.719,484.196,492.264,188.315,125.047,122.516,148.280,163.092,142.536,1.144,35.664,13.576,0.575,1,0.983,0,0.926,0.145,8.018,1.624,0.992
2,1,2,2357.451,42.488,3744.071,3803.500,209.429,215.342,74.912,63.870,64.103,69.044,65.931,63.904,1.032,17.878,11.715,0.349,1,0.984,0,1.000,0.163,167.523,1.485,0.964
3,1,3,4118.055,62.085,6732.535,6868.374,303.054,305.301,118.321,71.669,73.018,92.586,117.276,71.669,1.636,22.216,13.641,0.631,1,0.980,0,0.921,0.124,60.433,1.582,0.992
4,1,4,1474.562,43.515,3226.183,3319.573,199.627,203.314,76.483,55.629,57.394,64.091,61.189,61.189,1.000,16.161,12.352,0.512,1,0.972,0,1.000,0.148,132.645,1.432,0.951
5,1,5,2183.952,69.811,7640.960,7802.270,346.958,350.991,146.153,71.678,73.018,98.635,143.367,74.628,1.921,22.023,15.755,0.717,1,0.979,0,0.798,0.135,64.133,1.623,0.991
6,1,6,2499.418,71.790,9067.273,9313.482,353.438,356.098,141.069,88.086,88.762,107.447,139.435,88.618,1.573,25.654,13.777,0.606,1,0.974,0,0.912,0.124,49.440,1.614,0.997
7,1,7,3382.119,50.235,2597.927,2682.826,186.002,188.889,75.758,42.023,44.381,57.513,75.981,42.023,1.808,13.967,13.317,0.669,1,0.968,0,0.944,0.143,117.360,1.356,0.960
8,1,8,4242.515,116.954,22311.604,22736.102,558.298,563.379,225.717,133.785,135.920,168.547,218.920,136.822,1.600,39.964,13.970,0.638,1,0.981,0,0.900,0.129,52.405,1.701,0.997
9,1,9,5617.218,46.278,1519.702,1553.662,132.960,137.034,49.534,34.965,40.793,43.988,43.706,34.965,1.250,11.430,11.633,0.447,1,0.978,0,1.000,0.166,111.020,1.243,0.860
10,1,10,1007.193,56.733,3124.304,3277.123,199.627,202.233,71.964,56.448,55.285,63.071,64.499,55.285,1.167,15.651,12.755,0.371,1,0.953,0,0.985,0.138,135.474,1.426,0.952
11,1,11,3171.626,83.704,8345.627,8439.016,330.385,338.701,120.736,93.240,86.632,103.082,113.337,94.775,1.196,25.260,13.079,0.478,1,0.989,0,0.961,0.158,70.063,1.583,0.995
12,1,12,3875.756,62.879,3251.653,3404.472,207.145,208.889,78.455,48.961,48.055,64.344,76.980,46.983,1.638,15.698,13.196,0.621,1,0.955,0,0.952,0.127,118.306,1.449,0.966
13,1,13,1159.789,72.450,6418.407,6596.696,299.814,302.523,120.455,66.457,67.960,90.400,119.890,65.153,1.840,21.408,14.005,0.676,1,0.973,0,0.897,0.128,30.690,1.565,0.992
14,1,14,1930.504,100.316,14882.893,15485.680,449.930,454.975,164.337,112.766,107.137,137.657,157.693,112.472,1.402,33.078,13.602,0.538,1,0.961,0,0.924,0.134,106.857,1.732,0.999
15,1,15,4982.062,70.541,4482.697,4584.576,234.476,238.136,84.096,67.075,67.960,75.548,74.172,70.051,1.059,19.118,12.265,0.391,1,0.978,0,1.000,0.143,76.163,1.550,0.966
16,1,16,2270.555,121.386,15095.142,15630.009,456.865,457.421,176.035,112.713,109.953,138.635,156.640,113.337,1.382,33.041,13.827,0.554,1,0.966,0,0.909,0.094,88.008,1.738,0.998
17,1,17,5658.428,56.308,1366.883,1417.823,131.340,133.770,47.789,36.856,34.965,41.718,40.793,37.879,1.077,10.407,12.620,0.453,1,0.964,0,0.996,0.148,154.882,1.207,0.863
18,1,18,4586.264,82.419,6469.347,6647.636,287.727,288.622,99.068,84.770,83.437,90.758,85.696,82.927,1.033,22.484,12.797,0.196,1,0.973,0,0.982,0.107,50.737,1.668,0.964
19,1,19,1276.719,71.638,3251.653,3412.962,216.865,219.434,90.467,46.620,46.620,64.344,87.413,46.620,1.875,14.994,14.464,0.715,1,0.953,0,0.869,0.135,167.162,1.455,0.958
20,1,20,2089.372,110.862,7938.109,8184.318,324.860,330.686,127.441,84.499,86.042,100.534,101.145,98.982,1.022,24.435,13.295,0.557,1,0.970,0,0.945,0.147,94.482,1.638,0.992
21,1,21,2950.601,77.203,2377.188,2530.007,175.245,178.239,61.947,47.174,46.620,55.016,58.927,46.983,1.254,13.565,12.919,0.484,1,0.940,0,0.973,0.146,9.571,1.341,0.949
22,1,22,3808.315,117.380,11512.380,11834.999,382.681,385.468,139.648,107.779,108.867,121.070,128.205,107.809,1.189,30.084,12.721,0.451,1,0.973,0,0.988,0.123,70.331,1.661,0.995
23,1,23,5773.468,108.283,12989.633,13278.291,410.303,413.943,144.664,122.378,116.550,128.604,124.066,124.066,1.000,31.659,12.960,0.345,1,0.978,0,0.970,0.128,37.628,1.702,0.995
24,1,24,5103.053,125.339,12548.155,12751.914,395.431,401.951,138.426,111.258,111.334,126.399,135.982,111.258,1.222,31.733,12.461,0.423,1,0.984,0,1.000,0.144,133.848,1.691,0.995
25,1,25,5428.378,130.666,16895.013,17209.141,484.487,485.980,191.711,114.166,112.548,146.668,189.819,113.337,1.675,34.872,13.893,0.632,1,0.982,0,0.904,0.107,155.158,1.784,0.999
26,1,26,1436.959,162.178,28534.742,29995.015,637.634,634.593,216.580,171.494,159.060,190.608,202.081,173.387,1.165,44.751,14.248,0.461,0.995,0.951,0,0.882,0.115,165.223,1.665,0.992
27,1,27,2865.814,103.596,4779.845,4966.624,268.578,270.421,106.062,60.069,59.998,78.012,104.611,60.069,1.742,17.797,15.091,0.681,1,0.962,0,0.833,0.122,153.488,1.475,0.992
28,1,28,967.744,108.407,4779.845,4932.664,250.385,252.047,92.601,67.135,67.960,78.012,90.467,69.259,1.306,19.090,13.116,0.504,1,0.969,0,0.958,0.121,1.863,1.566,0.965
29,1,29,4933.752,112.867,3328.063,3412.962,201.911,206.439,73.540,57.499,57.394,65.095,67.016,58.275,1.150,16.483,12.250,0.474,1,0.975,0,1.000,0.154,119.105,1.431,0.948
30,1,30,1246.087,112.993,3879.910,3998.769,226.958,230.659,83.894,59.763,57.689,70.286,82.104,59.998,1.368,17.095,13.276,0.544,1,0.970,0,0.947,0.144,158.266,1.491,0.963
31,1,31,3245.896,170.544,19798.577,20155.156,512.110,518.556,189.394,134.604,130.307,158.771,183.566,136.946,1.340,38.661,13.246,0.538,1,0.982,0,0.949,0.137,75.440,1.833,0.999
32,1,32,5656.136,112.448,2496.047,2563.967,174.953,179.339,68.582,46.620,46.983,56.374,61.810,51.550,1.199,14.267,12.263,0.566,1,0.974,0,1.000,0.158,102.533,1.351,0.952
33,1,33,5932.967,102.235,1383.863,1434.803,128.100,130.951,47.432,32.051,34.965,41.976,46.620,32.051,1.455,10.803,11.858,0.570,1,0.964,0,1.000,0.154,87.238,1.168,0.892
34,1,34,2361.079,175.224,12760.404,13210.372,436.387,437.316,184.005,95.851,93.240,127.464,184.581,95.445,1.934,29.241,14.924,0.692,1,0.966,0,0.842,0.101,78.696,1.696,0.998
35,1,35,1854.380,125.796,3947.830,4202.528,244.487,244.367,100.977,54.592,53.727,70.898,91.261,55.285,1.651,16.147,15.141,0.647,1.000,0.939,0,0.830,0.083,120.115,1.505,0.966
36,1,36,4403.392,135.774,4329.878,4516.657,245.816,248.546,94.371,61.189,58.275,74.249,84.700,65.153,1.300,17.614,13.955,0.586,1,0.959,0,0.900,0.133,85.649,1.442,0.984
37,1,37,874.461,139.552,8116.398,8294.687,324.196,329.926,107.137,100.048,86.632,101.657,107.137,100.977,1.061,25.035,12.949,0.210,1,0.979,0,0.970,0.147,114.249,1.586,0.994
38,1,38,1053.764,158.365,10179.457,10459.626,363.240,366.717,126.941,99.553,98.896,113.846,123.620,100.977,1.224,28.024,12.962,0.455,1,0.973,0,0.969,0.130,130.920,1.614,0.996
39,1,39,2971.713,158.831,14781.013,15324.371,457.902,462.428,171.491,122.300,119.570,137.185,150.419,123.620,1.217,32.280,14.185,0.475,1,0.965,0,0.886,0.131,19.900,1.741,0.998
40,1,40,2647.141,155.679,12386.846,12582.115,391.818,398.057,144.899,107.809,110.569,125.584,134.979,108.123,1.248,31.614,12.394,0.463,1,0.984,0,1.000,0.143,0.217,1.677,0.998
41,1,41,1685.512,141.547,4754.375,4907.195,255.909,257.401,99.110,55.557,54.977,77.804,99.110,54.744,1.810,18.578,13.775,0.667,1,0.969,0,0.912,0.119,25.002,1.472,0.989
42,1,42,3615.088,157.312,10671.875,10969.023,380.105,382.650,145.484,88.455,88.953,116.567,141.909,89.381,1.588,28.076,13.538,0.630,1,0.973,0,0.928,0.122,23.553,1.674,0.996
43,1,43,4523.467,152.403,5730.720,5925.989,275.723,278.080,101.355,72.789,69.930,85.420,99.068,72.844,1.360,20.784,13.266,0.567,1,0.967,0,0.947,0.127,99.979,1.530,0.990
44,1,44,4654.577,150.520,5993.909,6163.708,279.336,282.423,105.621,68.691,67.960,87.359,103.756,68.271,1.520,21.458,13.018,0.603,1,0.972,0,0.965,0.133,148.078,1.544,0.991
45,1,45,4857.581,132.127,3115.814,3217.693,198.298,202.988,73.077,46.620,49.790,62.986,69.930,46.620,1.500,15.713,12.620,0.579,1,0.968,0,0.996,0.156,179.105,1.431,0.964
46,1,46,219.165,200.807,15027.222,15468.700,476.678,476.852,185.316,107.663,106.342,138.323,177.380,108.123,1.641,31.525,15.121,0.645,1,0.971,0,0.831,0.080,117.045,1.743,0.999
47,1,47,85.856,258.153,36014.394,37296.377,738.613,744.849,269.975,174.825,174.825,214.138,265.152,174.825,1.517,48.759,15.148,0.509,1,0.966,0,0.830,0.127,99.334,1.833,0.999
48,1,48,3432.806,207.318,17039.342,17370.450,486.107,486.130,187.592,121.560,121.263,147.293,185.430,121.577,1.525,35.053,13.868,0.587,1,0.981,0,0.906,0.065,133.510,1.775,0.999
49,1,49,635.260,176.872,5136.423,5263.773,262.389,265.984,106.062,63.870,64.103,80.870,87.413,75.758,1.154,19.576,13.404,0.628,1,0.976,0,0.938,0.139,128.325,1.585,0.965
50,1,50,2775.790,151.867,1825.341,1876.280,148.951,151.589,56.575,41.207,41.207,48.209,49.448,41.207,1.200,12.255,12.155,0.470,1,0.973,0,1.000,0.147,157.132,1.278,0.936
51,1,51,731.114,170.776,5620.351,5798.640,270.490,273.770,96.858,79.819,74.172,84.593,81.585,81.585,1.000,20.778,13.018,0.333,1,0.969,0,0.965,0.136,61.686,1.619,0.965
52,1,52,1804.166,239.448,18771.293,19221.260,514.021,516.637,201.723,116.159,116.112,154.597,199.502,114.566,1.741,36.519,14.076,0.662,1,0.977,0,0.893,0.116,89.694,1.622,0.994
53,1,53,2049.178,187.737,6172.198,6341.997,277.424,283.908,102.314,72.112,74.172,88.649,94.775,72.141,1.314,22.248,12.469,0.495,1,0.973,0,1.000,0.156,125.419,1.556,0.991
54,1,54,4468.109,204.361,7233.443,7479.651,323.823,328.550,126.941,69.930,69.930,95.968,125.291,69.930,1.792,22.338,14.497,0.665,1,0.967,0,0.867,0.141,93.571,1.605,0.991
55,1,55,303.467,180.527,3370.513,3514.842,209.429,210.343,71.964,56.032,54.977,65.509,69.075,56.047,1.232,16.094,13.013,0.448,1,0.959,0,0.966,0.113,119.422,1.450,0.960
56,1,56,806.909,198.347,7216.463,7488.141,307.622,310.202,107.454,92.141,81.168,95.856,97.033,97.033,1.000,23.459,13.113,0.325,1,0.964,0,0.958,0.127,20.653,1.548,0.994
57,1,57,1232.215,172.444,2546.987,2691.316,183.054,184.543,61.466,55.361,46.620,56.947,58.275,55.361,1.053,13.914,13.156,0.267,1,0.946,0,0.955,0.126,89.858,1.360,0.951
58,1,58,4934.176,172.271,2266.818,2326.248,167.436,171.303,63.034,46.473,46.620,53.723,52.448,49.534,1.059,13.538,12.367,0.499,1,0.974,0,1.000,0.155,120.065,1.321,0.953
59,1,59,5270.917,242.355,23466.239,23822.817,544.592,552.613,195.764,142.598,145.688,172.853,192.308,142.774,1.347,43.090,12.639,0.510,1,0.985,0,0.994,0.141,93.823,1.696,0.997
60,1,60,468.896,196.122,6791.965,6987.234,288.765,290.740,99.751,85.662,86.042,92.994,94.775,86.534,1.095,23.521,12.277,0.358,1,0.972,0,1.000,0.122,164.112,1.586,0.991
61,1,61,5815.686,180.101,2063.059,2173.429,161.620,163.937,54.744,49.448,42.023,51.252,51.550,49.448,1.042,12.765,12.661,0.256,1,0.949,0,0.993,0.140,1.052,1.300,0.959
62,1,62,5545.124,194.873,4788.335,4958.134,244.196,244.910,81.011,73.496,73.018,78.081,77.749,72.082,1.079,19.609,12.454,0.231,1,0.966,0,1.000,0.106,151.367,1.570,0.965
63,1,63,2465.685,184.690,4542.126,4652.496,250.676,255.535,102.645,52.448,58.275,76.047,101.981,52.448,1.944,18.120,13.835,0.694,1,0.976,0,0.908,0.150,173.099,1.449,0.983
64,1,64,3988.012,174.577,1842.320,1927.220,157.051,159.372,64.696,34.965,39.092,48.433,64.103,34.965,1.833,11.731,13.388,0.666,1,0.956,0,0.939,0.141,1.616,1.286,0.935
65,1,65,4741.718,193.927,3599.741,3778.030,217.902,218.979,74.912,61.243,59.998,67.700,63.970,59.998,1.066,16.520,13.190,0.233,1,0.953,0,0.953,0.115,141.950,1.474,0.967
66,1,66,4876.576,196.663,5790.150,6002.399,287.436,290.131,116.039,64.710,62.764,85.862,116.441,65.478,1.778,20.144,14.269,0.670,1,0.965,0,0.881,0.129,145.600,1.530,0.990
67,1,67,4375.452,216.031,7165.523,7377.772,302.389,305.789,107.848,88.594,84.850,95.517,96.154,93.240,1.031,23.696,12.761,0.375,1,0.971,0,0.985,0.134,130.983,1.553,0.992
